id,name,kind,cost,rarity,sprite,type,baseAC,dexCap,stealthDisadvantage,strRequirement,enchantmentBonus,stats_acBonus,stats_toHitBonus,stats_toHitAppliesTo,stats_speedBonus,stats_ab_str,stats_ab_dex,stats_ab_con,stats_ab_int,stats_ab_wis,stats_ab_cha,stats_save_str,stats_save_dex,stats_save_con,stats_save_int,stats_save_wis,stats_save_cha,stats_skill_acrobatics,stats_skill_animalHandling,stats_skill_arcana,stats_skill_athletics,stats_skill_deception,stats_skill_history,stats_skill_insight,stats_skill_intimidation,stats_skill_investigation,stats_skill_medicine,stats_skill_nature,stats_skill_perception,stats_skill_performance,stats_skill_persuasion,stats_skill_religion,stats_skill_sleightOfHand,stats_skill_stealth,stats_skill_survival,stats_adv_saves,stats_adv_skills,stats_adv_deathSaves,stats_bonusDmg_flat,stats_bonusDmg_dice,stats_bonusDmg_type,stats_bonusDmg_appliesTo
shield,Shield,shield,10,,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demon-shield,demon Shield,shield,10,,/assets/shields/demon shield.png,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dragon-shield,dragon Shield,shield,10,,/assets/shields/dragon shield.png,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mastermind-shield,mastermind Shield,shield,10,common,/assets/shields/mastermind shield.png,none,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tower-shield,tower Shield,shield,10,,/assets/shields/tower shield.png,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medusa-shield,medusa Shield,shield,10,,/assets/shields/medusa shield.png,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
towerShield,Tower Shield,shield,20,,/assets/shields/tower shield.png,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
padded,Padded,armor,5,,,light,11,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leather,Leather,armor,10,,/assets/armors/leather armor.png,light,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studded,Studded Leather,armor,45,common,/assets/armors/greenwood coat.gif,light,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
