id,name,kind,cost,rarity,sprite,damageDie,damageType,proficiencyCategory,rangeType,properties,enchantmentBonus,enchantment,enchantments,bonusDamageDie,bonusDamageType,isMonkWeapon,to_hit_count,to_hit_die,to_hit_flat,dmg_bonus_count,dmg_bonus_die,dmg_bonus_flat,dmg_bonus_type,requiresAttunement,crit_bonus,crit_bonus_type,stats_acBonus,stats_toHitBonus,stats_toHitAppliesTo,stats_speedBonus,stats_ab_str,stats_ab_dex,stats_ab_con,stats_ab_int,stats_ab_wis,stats_ab_cha,stats_abset_str,stats_abset_dex,stats_abset_con,stats_abset_int,stats_abset_wis,stats_abset_cha,stats_save_str,stats_save_dex,stats_save_con,stats_save_int,stats_save_wis,stats_save_cha,stats_skill_acrobatics,stats_skill_animalHandling,stats_skill_arcana,stats_skill_athletics,stats_skill_deception,stats_skill_history,stats_skill_insight,stats_skill_intimidation,stats_skill_investigation,stats_skill_medicine,stats_skill_nature,stats_skill_perception,stats_skill_performance,stats_skill_persuasion,stats_skill_religion,stats_skill_sleightOfHand,stats_skill_stealth,stats_skill_survival,stats_adv_saves,stats_adv_skills,stats_adv_deathSaves,stats_bonusDmg_flat,stats_bonusDmg_dice,stats_bonusDmg_type,stats_bonusDmg_appliesTo,stats_crit_bonus,stats_crit_bonus_type,stats_critDmg_dice,stats_critDmg_flat,stats_critDmg_type
club,Club,weapon,1,common,/assets/weapons/club.png,1d4,bludgeoning,Simple,Melee,Light,,,fire|cold|thunder|acid|lightning,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dagger,Dagger,weapon,2,common,/assets/weapons/dagger.png,1d4,piercing,Simple,Melee or Ranged,Finesse|Light|Thrown (range 20/60),,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greatclub,Greatclub,weapon,2,common,/assets/weapons/greatclub.png,1d8,bludgeoning,Simple,Melee,Two-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handaxe,Handaxe,weapon,5,common,/assets/weapons/handaxe.png,1d6,slashing,Simple,Melee or Ranged,Light|Thrown (range 20/60),,,fire|cold|thunder|acid|lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
javelin,Javelin,weapon,5,common,/assets/weapons/javelin.png,1d6,piercing,Simple,Melee or Ranged,Thrown (range 30/120),,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightHammer,Light Hammer,weapon,2,common,/assets/weapons/lightHammer.png,1d4,bludgeoning,Simple,Melee or Ranged,Light|Thrown (range 20/60),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mace,Mace,weapon,5,common,/assets/weapons/mace.png,1d6,bludgeoning,Simple,Melee,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quarterstaff,Quarterstaff,weapon,2,common,/assets/weapons/quarterstaff.png,1d6,bludgeoning,Simple,Melee,Versatile (1d8),,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sickle,Sickle,weapon,1,,/assets/weapons/sickle.png,1d4,slashing,Simple,Melee,Light,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spear,Spear,weapon,1,common,/assets/weapons/spear.png,1d6,piercing,Simple,Melee or Ranged,Thrown (range 20/60)|Versatile (1d8),,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
