id,name,kind,cost,rarity,sprite,stats_acBonus,stats_ab_str,stats_ab_dex,stats_ab_con,stats_ab_int,stats_ab_wis,stats_ab_cha,stats_save_str,stats_save_dex,stats_save_con,stats_save_int,stats_save_wis,stats_save_cha,stats_skill_acrobatics,stats_skill_animalHandling,stats_skill_arcana,stats_skill_athletics,stats_skill_deception,stats_skill_history,stats_skill_insight,stats_skill_intimidation,stats_skill_investigation,stats_skill_medicine,stats_skill_nature,stats_skill_perception,stats_skill_performance,stats_skill_persuasion,stats_skill_religion,stats_skill_sleightOfHand,stats_skill_stealth,stats_skill_survival,stats_adv_saves,stats_adv_skills,stats_adv_deathSaves,stats_bonusDmg_flat,stats_bonusDmg_dice,stats_bonusDmg_type
iron-med-helm,Iron Med Helm,helmet,14,common,/assets/helmets/Iron_med_helm.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steel-med-helm,Steel Med Helm,helmet,35,common,/assets/helmets/Steel_med_helm.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steel-helmet,Steel Helmet,helmet,2,uncommon,/assets/helmets/steel helmet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knight-helmet,Knight Helmet,helmet,3,uncommon,/assets/helmets/knight helmet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden-helmet,Golden Helmet,helmet,5,rare,/assets/helmets/golden helmet.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
movility-cape,Movility Cape,cape,10,legendary,/assets/armors/Infernal_cape.png,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obsidian-cape,Obsidian Cape,cape,2000,uncommon,/assets/armors/Obsidian_cape.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire-cape,Fire Cape,cape,0,rare,/assets/armors/Fire_cape.png,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infernal-cape,Infernal Cape,cape,0,legendary,/assets/armors/Infernal_cape.png,2,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
amulet-of-power,Amulet of Power,amulet,300,uncommon,/assets/amulets/Amulet_of_power.png,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
amulet-of-strength,Amulet of Strength,amulet,150,uncommon,/assets/amulets/Amulet_of_strength.png,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
