id,name,kind,cost,rarity,sprite,type,baseAC,dexCap,stealthDisadvantage,strRequirement,enchantmentBonus
none,Unarmored,armor,0,,,none,10,,,,
shield,Shield,shield,10,,,none,0,,,,
demon-shield,demon Shield,shield,10,,/assets/shields/demon shield.png,none,0,,,,
dragon-shield,dragon Shield,shield,10,,/assets/shields/dragon shield.png,none,0,,,,
mastermind-shield,mastermind Shield,shield,10,,/assets/shields/mastermind shield.png,none,0,,,,
tower-shield,tower Shield,shield,10,,/assets/shields/tower shield.png,none,0,,,,
medusa-shield,medusa Shield,shield,10,,/assets/shields/medusa shield.png,none,0,,,,
towerShield,Tower Shield,shield,20,,/assets/shields/tower shield.png,none,0,,,,
padded,Padded,armor,5,,,light,11,,true,,
leather,Leather,armor,10,,/assets/armors/leather armor.png,light,11,,,,
studded,Studded Leather,armor,45,,,light,12,,,,
hide,Hide,armor,10,,,medium,12,2,true,,
chainShirt,Chain Shirt,armor,50,,,medium,13,2,,,
scaleMail,Scale Mail,armor,50,,,medium,14,2,true,,
breastplate,Breastplate,armor,400,,,medium,14,2,,,
halfPlate,Half Plate,armor,750,,,medium,15,2,true,,
ringMail,Ring Mail,armor,30,,,heavy,14,0,true,,
chainMail,Chain Mail,armor,75,,,heavy,16,0,true,13,
splint,Splint,armor,200,,,heavy,17,0,true,15,
plate,Plate,armor,1500,,/assets/armors/plate armor.png,heavy,18,0,true,15,
shield+1,Shield +1,shield,1000,uncommon,,none,0,,,,1
leather+1,Leather +1,armor,1,uncommon,,light,11,,,,1
studded+1,Studded Leather +1,armor,1,uncommon,,light,12,,,,1
breastplate+1,Breastplate +1,armor,1,uncommon,,medium,14,2,,,1
halfPlate+1,Half Plate +1,armor,1,uncommon,,medium,15,2,true,,1
ringMail+1,Ring Mail +1,armor,1,uncommon,,heavy,14,0,true,,1
chainMail+1,Chain Mail +1,armor,1,uncommon,,heavy,16,0,true,13,1
splint+1,Splint +1,armor,1,uncommon,,heavy,17,0,true,15,1
plate+1,Plate +1,armor,1,uncommon,/assets/armors/knight plate armor.png,heavy,18,0,true,15,1
shield+2,Shield +2,shield,1,rare,,none,0,,,,2
studded+2,Studded Leather +2,armor,1,rare,,light,12,,,,2
breastplate+2,Breastplate +2,armor,1,rare,,medium,14,2,,,2
halfPlate+2,Half Plate +2,armor,1,rare,,medium,15,2,true,,2
plate+2,Plate +2,armor,1,rare,/assets/armors/golden plate armor.png,heavy,18,0,true,15,2
shield+3,Shield +3,shield,1,very rare,,none,0,,,,3
studded+3,Studded Leather +3,armor,1,very rare,,light,12,,,,3
breastplate+3,Breastplate +3,armor,1,very rare,,medium,14,2,,,3
plate+3,Plate +3,armor,1,very rare,/assets/armors/magic plate armor.png,heavy,18,0,true,15,3
