id,name,kind,cost,rarity,sprite,damageDie,damageType,proficiencyCategory,rangeType,properties,enchantmentBonus,enchantment,enchantments,bonusDamageDie,bonusDamageType,isMonkWeapon,to_hit_count,to_hit_die,to_hit_flat,dmg_bonus_count,dmg_bonus_die,dmg_bonus_flat,dmg_bonus_type
unarmed,Unarmed Strike,weapon,0,,,1,bludgeoning,Unarmed,Melee,,,,,,,true,,,,,,,
club,Club,weapon,1,,/assets/weapons/club.png,1d4,bludgeoning,Simple,Melee,Light,,,fire|ice|thunder|earth|energy,,,true,,,,,,,
dagger,Dagger,weapon,2,,/assets/weapons/dagger.png,1d4,piercing,Simple,Melee or Ranged,Finesse|Light|Thrown (range 20/60),,,,,,true,,,,,,,
greatclub,Greatclub,weapon,2,,/assets/weapons/greatclub.png,1d8,bludgeoning,Simple,Melee,Two-Handed,,,,,,,,,,,,,
handaxe,Handaxe,weapon,5,,/assets/weapons/handaxe.png,1d6,slashing,Simple,Melee or Ranged,Light|Thrown (range 20/60),,,fire|ice|thunder|earth|energy,,,,,,,,,,
javelin,Javelin,weapon,5,,/assets/weapons/javelin.png,1d6,piercing,Simple,Melee or Ranged,Thrown (range 30/120),,,,,,true,,,,,,,
lightHammer,Light Hammer,weapon,2,,/assets/weapons/light hammer.png,1d4,bludgeoning,Simple,Melee or Ranged,Light|Thrown (range 20/60),,,,,,,,,,,,,
mace,Mace,weapon,5,,/assets/weapons/mace.png,1d6,bludgeoning,Simple,Melee,,,,,,,true,,,,,,,
quarterstaff,Quarterstaff,weapon,2,,/assets/weapons/quarterstaff.png,1d6,bludgeoning,Simple,Melee,Versatile (1d8),,,,,,true,,,,,,,
sickle,Sickle,weapon,1,,/assets/weapons/sickle.png,1d4,slashing,Simple,Melee,Light,,,,,,true,,,,,,,
spear,Spear,weapon,1,,/assets/weapons/spear.png,1d6,piercing,Simple,Melee or Ranged,Thrown (range 20/60)|Versatile (1d8),,,,,,true,,,,,,,
lightCrossbow,Light Crossbow,weapon,25,,/assets/weapons/light crossbow.png,1d8,piercing,Simple,Ranged,Ammunition (range 80/320)|Loading|Two-Handed,,,,,,,,,,,,,
dart,Dart,weapon,5,,/assets/weapons/dart.png,1d4,piercing,Simple,Ranged,Finesse|Thrown (range 20/60),,,,,,,,,,,,,
shortbow,Shortbow,weapon,25,,/assets/weapons/shortbow.png,1d6,piercing,Simple,Ranged,Ammunition (range 80/320)|Two-Handed,,,,,,,,,,,,,
sling,Sling,weapon,1,,/assets/weapons/sling.png,1d4,bludgeoning,Simple,Ranged,Ammunition (range 30/120),,,,,,,,,,,,,
battleaxe,Battleaxe,weapon,10,,/assets/weapons/battleaxe.png,1d8,slashing,Martial,Melee,Versatile (1d10),,,,,,,,,,,,,
flail,Flail,weapon,10,,/assets/weapons/flail.png,1d8,bludgeoning,Martial,Melee,,,,,,,,,,,,,,
glaive,Glaive,weapon,20,,/assets/weapons/glaive.png,1d10,slashing,Martial,Melee,Heavy|Reach|Two-Handed,,,,,,,,,,,,,
greataxe,Greataxe,weapon,30,,/assets/weapons/greataxe.png,1d12,slashing,Martial,Melee,Heavy|Two-Handed,,,,,,,,,,,,,
